,ebird code,Scientific Name,Common Name
598,rettit2,Parus fringillinus,Red-throated Tit
599,mcptit1,Anthoscopus musculus,Mouse-coloured Penduline Tit
600,afptit1,Anthoscopus caroli,Grey Penduline Tit
601,whhsaw1,Psalidoprocne albiceps,White-headed Saw-wing
602,blksaw1,Psalidoprocne pristoptera,Black Saw-wing
603,gyrswa1,Pseudhirundo griseopyga,Grey-rumped Swallow
604,masmar1,Phedina borbonica,Mascarene Martin
605,plamar1,Riparia paludicola,Plain Martin
606,banswa,Riparia riparia,Sand Martin
607,banmar1,Riparia cincta,Banded Martin
608,barswa,Hirundo rustica,Barn Swallow
609,angswa1,Hirundo angolensis,Angola Swallow
610,ethswa1,Hirundo aethiopica,Ethiopian Swallow
611,witswa1,Hirundo smithii,Wire-tailed Swallow
612,bluswa1,Hirundo atrocaerulea,Blue Swallow
613,rocmar2,Ptyonoprogne fuligula,Rock Martin
614,comhom1,Delichon urbicum,Common House Martin
615,lessts1,Cecropis abyssinica,Lesser Striped Swallow
616,rucswa2,Cecropis semirufa,Rufous-chested Swallow
617,mosswa2,Cecropis senegalensis,Mosque Swallow
618,rerswa1,Cecropis daurica,Red-rumped Swallow
619,soaswa2,Petrochelidon spilodera,South African Cliff Swallow
620,whtlar1,Mirafra albicauda,White-tailed Lark
621,willar1,Mirafra williamsi,Williams's Lark
622,frilar1,Mirafra pulpa,Friedmann's Lark
623,runlar1,Mirafra africana,Rufous-naped Lark
624,rewlar1,Mirafra hypermetra,Red-winged Lark
625,flalar1,Mirafra rufocinnamomea,Flappet Lark
626,collar1,Mirafra collaris,Collared Lark
627,gillar1,Mirafra gilletti,Gillett's Lark
628,piblar3,Mirafra poecilosterna,Pink-breasted Lark
629,gstlar1,Calandrella brachydactyla,Greater Short-toed Lark
630,reclar1,Calandrella cinerea,Red-capped Lark
631,sstlar1,Calandrella somalica,Somali Short-toed Lark
632,maslar1,Spizocorys personata,Masked Lark
633,shtlar1,Pseudalaemon fremantlii,Short-tailed Lark
634,crelar1,Galerida cristata,Crested Lark
635,thelar1,Galerida theklae,Thekla Lark
636,cbslar1,Eremopterix leucotis,Chestnut-backed Sparrow Lark
637,chhspl1,Eremopterix signatus,Chestnut-headed Sparrow Lark
638,fislar1,Eremopterix leucopareia,Fischer's Sparrow Lark
639,refcis1,Cisticola erythrops,Red-faced Cisticola
640,sincis1,Cisticola cantans,Singing Cisticola
641,whicis1,Cistocola lateralis,Whistling Cisticola
642,tricis1,Cisticola woosnami,Trilling Cisticola
643,chucis1,Cisticola chubbi,Chubb's Cisticola
644,huncis1,Cisticola hunteri,Hunter's Cisticola
645,rolcis2,Cisticola aberrans,Rock-loving Cisticola
